Name: CCTV-1, URL: http://cdn6.veryfast.filegear-sg.me/live/cctv1/stream.m3u8, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: 161 ms, Speed: 33.75 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://cdn6.veryfast.filegear-sg.me/live/cctv1/stream.m3u8, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: 161 ms, Speed: 33.75 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009, IPv_Type: ipv4, Location: 美国-哥伦比亚特区-哥伦比亚特区, ISP: Cogent, Date: None, Delay: 791 ms, Speed: 6.39 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009, IPv_Type: ipv4, Location: 美国-哥伦比亚特区-哥伦比亚特区, ISP: Cogent, Date: None, Delay: 791 ms, Speed: 6.39 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://107.150.60.122/live/cctv1hd.m3u8, IPv_Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Date: None, Delay: 754 ms, Speed: 6.38 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://107.150.60.122/live/cctv1hd.m3u8, IPv_Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Date: None, Delay: 754 ms, Speed: 6.38 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://106.115.24.3:9901/tsfile/live/1000_1.m3u8, IPv_Type: ipv4, Location: 中国-河北-邯郸, ISP: 电信, Date: None, Delay: 12551 ms, Speed: 0.99 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://106.115.24.3:9901/tsfile/live/1000_1.m3u8, IPv_Type: ipv4, Location: 中国-河北-邯郸, ISP: 电信, Date: None, Delay: 12551 ms, Speed: 0.99 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://wangzg.synology.me:4022/rtp/239.49.8.19:9614, IPv_Type: ipv6, Location: 中国, ISP: 中国电信, Date: None, Delay: 447 ms, Speed: 0.84 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://wangzg.synology.me:4022/rtp/239.49.8.19:9614, IPv_Type: ipv6, Location: 中国, ISP: 中国电信, Date: None, Delay: 447 ms, Speed: 0.84 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://kouki.pro:8888/udp/239.49.8.129:6000, IPv_Type: ipv4, Location: 中国-江苏-无锡, ISP: 电信, Date: None, Delay: 1237 ms, Speed: 0.07 M/s, Resolution: None
